"batch" "cluster" "condition" "cell_name" "nomi_cluster"
"1" 1 "Cell competition OFF" "24538_5#280" "Win Epi"
"1" 1 "Cell competition OFF" "24538_5#281" "Win Epi"
"1" 1 "Cell competition OFF" "24538_5#282" "Win Epi"
"1" 1 "Cell competition OFF" "24538_5#283" "Win Epi"
"1" 1 "Cell competition OFF" "24538_5#284" "Win Epi"
"1" 2 "Cell competition OFF" "24538_5#285" "ExE"
"1" 5 "Cell competition OFF" "24538_5#286" "VE"
"1" 2 "Cell competition OFF" "24538_5#287" "ExE"
"1" 3 "Cell competition OFF" "24538_5#288" "Intermediate"
"1" 2 "Cell competition ON" "24538_5#289" "ExE"
"1" 1 "Cell competition ON" "24538_5#290" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#291" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#292" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#293" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#294" "Win Epi"
"1" 2 "Cell competition ON" "24538_5#295" "ExE"
"1" 1 "Cell competition ON" "24538_5#296" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#297" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#298" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#299" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#300" "Win Epi"
"1" 3 "Cell competition OFF" "24538_5#304" "Intermediate"
"1" 1 "Cell competition OFF" "24538_5#305" "Win Epi"
"1" 3 "Cell competition OFF" "24538_5#306" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#307" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#309" "Intermediate"
"1" 1 "Cell competition OFF" "24538_5#312" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#313" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#314" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#315" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#316" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#317" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#318" "Win Epi"
"1" 2 "Cell competition ON" "24538_5#319" "ExE"
"1" 1 "Cell competition ON" "24538_5#320" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#321" "Win Epi"
"1" 5 "Cell competition ON" "24538_5#322" "VE"
"1" 1 "Cell competition ON" "24538_5#323" "Win Epi"
"1" 2 "Cell competition OFF" "24538_5#326" "ExE"
"1" 3 "Cell competition OFF" "24538_5#327" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#329" "Intermediate"
